ID,Curso,Origem,Especialidade_Medico,Consultor,Etapa,Status,Valor_Proposta_R$,Data_Primeiro_Contato,Dias_No_Funil,Motivo_Perda,Turma_Interesse,Score_Lead,Observacoes
1,EAD,Google Ads,Endocrinologia,Vendedor 5,Lead Captado,Em andamento,1020.00,08/06/2026,49,,T2/26,93,Aguardando primeiro contato
2,SHHE,Webinar,Neurologia,Vendedor 3,Negociação,Em andamento,13410.00,30/04/2026,2,,T3/26,99,Proposta revisada enviada
3,HTI,Webinar,Nutrologia,Vendedor 6,Proposta Enviada,Em andamento,17748.00,06/03/2026,89,,T4/26,68,Follow-up agendado para 3 dias
4,POS,Webinar,Clínica Geral,Vendedor 5,Proposta Enviada,Em andamento,38000.00,17/03/2026,74,,T3/26,32,Aguardando leitura
5,POS,Instagram,Ginecologia,Vendedor 6,Matriculado,Ganho,32300.00,13/01/2026,96,,T4/26,66,Boleto gerado
6,R2,WhatsApp,Cardiologia,Vendedor 4,Contato Realizado,Em andamento,8500.00,18/06/2026,87,,T2/26,42,Pediu proposta
7,EAD,Indicação,Dermatologia,Vendedor 1,Proposta Enviada,Em andamento,1140.00,03/02/2026,47,,T1/26,67,Proposta personalizada enviada
8,EAD,Site Orgânico,Endocrinologia,Vendedor 5,Contato Realizado,Em andamento,1140.00,04/04/2026,113,,T3/26,51,Interesse demonstrado
9,POS,Instagram,Geriatria,Vendedor 1,Proposta Enviada,Em andamento,38000.00,20/01/2026,60,,T2/26,58,Aguardando leitura
10,EAD,Site Orgânico,Ortopedia,Vendedor 3,Contato Realizado,Em andamento,1200.00,09/03/2026,2,,T1/26,88,Interesse demonstrado
11,EAD,Instagram,Medicina do Trabalho,Vendedor 2,Matriculado,Ganho,1200.00,22/06/2026,14,,T2/26,90,Pagamento confirmado
12,R2,Congresso,Nutrologia,Vendedor 6,Contato Realizado,Em andamento,8500.00,29/04/2026,82,,T3/26,82,Demo agendada
13,SHHE,Indicação,Ginecologia,Vendedor 3,Perdido,Perdido,14900.00,02/03/2026,13,Questões financeiras pessoais,T2/26,79,Não retornou após 5 contatos
14,NEXAL,Congresso,Psiquiatria,Vendedor 6,Matriculado,Ganho,9800.00,17/04/2026,114,,T1/26,92,Parcelado 12x aprovado
15,NEXAL,Indicação,Geriatria,Vendedor 3,Contato Realizado,Em andamento,9800.00,03/04/2026,31,,T1/26,77,Pediu proposta
