ID,Edicao_Congresso,Perfil_Participante,Estado,Especialidade,Como_Ficou_Sabendo,Primeiro_Congresso,Nota_Geral_0_10,Nota_Conteudo_Cientifico,Nota_Palestrantes,Nota_Logistica,Nota_Credenciamento,Nota_Coffee_Refeicoes,Nota_App_Evento,Interesse_Proxima_Edicao,Indicaria_Para_Colegas,Comentario_Aberto
1,Congresso Anual XPTO,Médico participante,CE,Medicina Integrativa,Indicação de colega,Não,7,7,6,6,6,6,7,Sim,Talvez,Localização ótima mas estacionamento insuficiente.
2,Congresso Anual XPTO,Patrocinador,MT,Ginecologia,Indicação de colega,Sim,9,10,10,9,9,9,7,Sim,Sim,Já indiquei para 5 colegas. Vale muito o investimento.
3,Congresso Anual XPTO,Médico residente,PE,Medicina Integrativa,Congresso anterior,Sim,8,8,8,8,6,9,7,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
4,Congresso Anual XPTO,Médico residente,MT,Ginecologia,Congresso anterior,Não,7,8,6,5,4,5,5,Sim,Talvez,"Sinalização boa na maioria dos espaços, mas confusa no subsolo."
5,Congresso Anual XPTO,Médico participante,PR,Neurologia,Redes sociais,Sim,10,10,10,10,9,10,9,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
6,Congresso Anual XPTO,Patrocinador,MG,Clínica Geral,Site XPTO,Sim,10,10,10,9,8,8,10,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
7,Congresso Anual XPTO,Médico participante,MG,Cardiologia,Email marketing,Não,7,8,6,6,7,7,7,Sim,Talvez,Adorei os palestrantes principais. Os workshops simultâneos foram irregulares.
8,Congresso Anual XPTO,Equipe interna XPTO,MA,Ginecologia,Congresso anterior,Não,9,8,8,9,6,7,7,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
9,Congresso Anual XPTO,Patrocinador,PR,Nutrologia,Site XPTO,Sim,10,9,10,10,8,10,7,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
10,Congresso Anual XPTO,Médico palestrante,BA,Nutrologia,Congresso anterior,Não,8,8,7,7,9,8,6,Sim,Sim,Adorei os palestrantes principais. Os workshops simultâneos foram irregulares.
11,Congresso Anual XPTO,Convidado especial,AM,Ginecologia,Email marketing,Não,5,6,6,4,6,5,4,Talvez,Não,Wi-Fi caiu no segundo dia. Apresentações com vídeo ficaram prejudicadas.
12,Congresso Anual XPTO,Médico participante,RS,Clínica Geral,Congresso anterior,Sim,2,6,6,4,3,5,3,Não,Não,Credenciamento demorou mais de 50 minutos. Perdi a primeira palestra.
13,Congresso Anual XPTO,Convidado especial,SE,Clínica Geral,Email marketing,Não,10,10,10,10,9,10,10,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
14,Congresso Anual XPTO,Médico palestrante,RN,Geriatria,Redes sociais,Não,10,10,10,10,8,10,9,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
15,Congresso Anual XPTO,Médico palestrante,SC,Psiquiatria,Congresso anterior,Sim,10,10,10,9,9,8,10,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
16,Congresso Anual XPTO,Médico palestrante,CE,Pediatria,Site XPTO,Não,10,9,10,9,9,9,10,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
17,Congresso Anual XPTO,Equipe interna XPTO,PB,Ortopedia,Site XPTO,Não,10,10,10,10,9,10,8,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
18,Congresso Anual XPTO,Convidado especial,BA,Cardiologia,Indicação de colega,Não,7,6,8,7,7,8,6,Sim,Talvez,Organização boa mas coffee break repetitivo no segundo dia.
19,Congresso Anual XPTO,Médico palestrante,MT,Endocrinologia,Site XPTO,Sim,9,9,9,10,6,8,7,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
20,Congresso Anual XPTO,Convidado especial,PR,Psiquiatria,Site XPTO,Não,8,8,7,7,8,7,7,Sim,Sim,Adorei os palestrantes principais. Os workshops simultâneos foram irregulares.
21,Congresso Anual XPTO,Médico residente,MT,Geriatria,Parceiro clínica,Sim,7,7,7,6,5,8,6,Sim,Talvez,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
22,Congresso Anual XPTO,Médico residente,MG,Clínica Geral,Email marketing,Sim,2,6,6,4,3,5,3,Não,Não,Sinalização do hotel confusa. Me perdi indo para o workshop.
23,Congresso Anual XPTO,Médico palestrante,SC,Clínica Geral,Redes sociais,Não,10,10,10,10,9,9,9,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
24,Congresso Anual XPTO,Médico participante,SE,Endocrinologia,Indicação de colega,Sim,8,9,9,9,6,9,7,Sim,Sim,Localização ótima mas estacionamento insuficiente.
25,Congresso Anual XPTO,Médico participante,RS,Pediatria,Email marketing,Sim,7,7,7,8,7,6,4,Sim,Talvez,App do evento com informações desatualizadas em alguns momentos.
26,Congresso Anual XPTO,Equipe interna XPTO,PI,Geriatria,Indicação de colega,Não,10,10,10,10,9,8,9,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
27,Congresso Anual XPTO,Médico palestrante,RS,Geriatria,Redes sociais,Não,8,7,7,7,7,8,5,Sim,Sim,App do evento com informações desatualizadas em alguns momentos.
28,Congresso Anual XPTO,Convidado especial,RN,Ginecologia,WhatsApp,Não,8,7,8,8,6,8,5,Sim,Sim,"Sinalização boa na maioria dos espaços, mas confusa no subsolo."
29,Congresso Anual XPTO,Patrocinador,PR,Ginecologia,Congresso anterior,Sim,9,9,9,10,8,7,8,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
30,Congresso Anual XPTO,Médico residente,PB,Psiquiatria,Email marketing,Não,9,8,10,7,10,7,8,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
31,Congresso Anual XPTO,Médico palestrante,RN,Medicina Integrativa,Site XPTO,Sim,9,9,10,10,8,9,9,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
32,Congresso Anual XPTO,Médico residente,AM,Endocrinologia,Redes sociais,Não,8,7,8,8,7,6,8,Sim,Sim,Conteúdo excelente mas programação muito densa para 2 dias.
33,Congresso Anual XPTO,Médico residente,AM,Neurologia,Email marketing,Sim,10,9,9,8,8,10,7,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
34,Congresso Anual XPTO,Convidado especial,DF,Clínica Geral,Parceiro clínica,Sim,2,6,6,4,3,5,3,Não,Não,Microfone com chiado durante a palestra principal. Dificultou muito.
35,Congresso Anual XPTO,Médico residente,AM,Psiquiatria,Email marketing,Não,7,8,6,6,4,6,4,Sim,Talvez,Conteúdo excelente mas programação muito densa para 2 dias.
36,Congresso Anual XPTO,Médico participante,ES,Psiquiatria,Indicação de colega,Sim,5,6,6,5,6,5,5,Talvez,Não,App do evento com erros na programação — entrei na sala errada.
37,Congresso Anual XPTO,Médico residente,RN,Geriatria,Congresso anterior,Sim,9,10,10,7,9,8,6,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
38,Congresso Anual XPTO,Médico palestrante,BA,Dermatologia,Indicação de colega,Não,9,8,10,7,6,8,7,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
39,Congresso Anual XPTO,Médico palestrante,PR,Medicina Integrativa,Congresso anterior,Não,8,8,9,8,6,9,7,Sim,Sim,App do evento com informações desatualizadas em alguns momentos.
40,Congresso Anual XPTO,Médico residente,DF,Neurologia,Email marketing,Não,10,10,10,10,8,8,7,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
41,Congresso Anual XPTO,Equipe interna XPTO,GO,Ortopedia,Email marketing,Não,9,9,8,10,6,7,8,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
42,Congresso Anual XPTO,Patrocinador,MA,Psiquiatria,Email marketing,Não,8,8,8,8,8,8,8,Sim,Sim,Organização boa mas coffee break repetitivo no segundo dia.
43,Congresso Anual XPTO,Equipe interna XPTO,AM,Neurologia,Congresso anterior,Sim,7,6,6,7,7,8,7,Sim,Talvez,App do evento com informações desatualizadas em alguns momentos.
44,Congresso Anual XPTO,Equipe interna XPTO,PB,Pediatria,Site XPTO,Sim,7,7,7,5,5,7,7,Sim,Talvez,Adorei os palestrantes principais. Os workshops simultâneos foram irregulares.
45,Congresso Anual XPTO,Equipe interna XPTO,GO,Ginecologia,Site XPTO,Não,10,9,10,9,8,8,7,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
46,Congresso Anual XPTO,Equipe interna XPTO,RS,Dermatologia,Redes sociais,Sim,4,6,6,4,5,5,3,Não,Não,App do evento com erros na programação — entrei na sala errada.
47,Congresso Anual XPTO,Equipe interna XPTO,MA,Ortopedia,Site XPTO,Não,8,7,8,6,7,6,5,Sim,Sim,App do evento com informações desatualizadas em alguns momentos.
48,Congresso Anual XPTO,Médico residente,RN,Geriatria,Redes sociais,Sim,8,8,7,9,8,6,7,Sim,Sim,Adorei os palestrantes principais. Os workshops simultâneos foram irregulares.
49,Congresso Anual XPTO,Patrocinador,SC,Psiquiatria,WhatsApp,Não,9,10,8,9,8,9,7,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
50,Congresso Anual XPTO,Convidado especial,RN,Clínica Geral,Email marketing,Não,8,7,7,8,6,8,8,Sim,Sim,Organização boa mas coffee break repetitivo no segundo dia.
51,Congresso Anual XPTO,Convidado especial,AM,Geriatria,Parceiro clínica,Não,9,8,9,8,10,8,7,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
52,Congresso Anual XPTO,Convidado especial,RN,Ginecologia,Redes sociais,Não,10,10,9,10,7,10,10,Sim,Sim,O coffee break estava excelente. Detalhe que faz diferença no longo dia.
53,Congresso Anual XPTO,Médico residente,PE,Clínica Geral,Site XPTO,Não,10,10,10,9,9,8,10,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
54,Congresso Anual XPTO,Médico palestrante,SP,Nutrologia,Redes sociais,Não,9,8,9,9,9,9,7,Sim,Sim,Já indiquei para 5 colegas. Vale muito o investimento.
55,Congresso Anual XPTO,Médico palestrante,MA,Geriatria,Email marketing,Não,9,10,8,9,7,10,9,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
56,Congresso Anual XPTO,Médico participante,SC,Dermatologia,Indicação de colega,Sim,8,7,9,9,5,8,8,Sim,Sim,Adorei os palestrantes principais. Os workshops simultâneos foram irregulares.
57,Congresso Anual XPTO,Equipe interna XPTO,MT,Neurologia,Indicação de colega,Não,8,8,7,8,8,8,6,Sim,Sim,"Sinalização boa na maioria dos espaços, mas confusa no subsolo."
58,Congresso Anual XPTO,Patrocinador,PR,Geriatria,Indicação de colega,Não,10,9,9,10,10,10,9,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
59,Congresso Anual XPTO,Patrocinador,MT,Neurologia,Email marketing,Não,8,8,8,7,7,6,7,Sim,Sim,App do evento com informações desatualizadas em alguns momentos.
60,Congresso Anual XPTO,Convidado especial,PI,Ginecologia,WhatsApp,Sim,9,10,8,10,6,7,7,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
61,Congresso Anual XPTO,Médico participante,AL,Endocrinologia,Congresso anterior,Sim,6,6,6,6,3,7,5,Talvez,Talvez,Palestrante do horário nobre cancelou sem aviso adequado.
62,Congresso Anual XPTO,Equipe interna XPTO,MT,Neurologia,Email marketing,Não,8,8,9,7,9,6,6,Sim,Sim,"Sinalização boa na maioria dos espaços, mas confusa no subsolo."
63,Congresso Anual XPTO,Médico palestrante,MG,Dermatologia,Indicação de colega,Sim,5,6,6,4,3,5,5,Talvez,Não,Credenciamento demorou mais de 50 minutos. Perdi a primeira palestra.
64,Congresso Anual XPTO,Médico participante,DF,Cardiologia,Indicação de colega,Sim,9,9,9,10,6,9,9,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
65,Congresso Anual XPTO,Médico residente,ES,Neurologia,Email marketing,Sim,7,6,6,6,8,8,4,Sim,Talvez,App do evento com informações desatualizadas em alguns momentos.
66,Congresso Anual XPTO,Médico residente,RJ,Geriatria,Redes sociais,Não,10,9,10,9,8,8,9,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
67,Congresso Anual XPTO,Convidado especial,GO,Neurologia,Site XPTO,Sim,10,10,10,10,8,10,9,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
68,Congresso Anual XPTO,Médico participante,SC,Pediatria,Email marketing,Não,9,10,10,10,7,8,6,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
69,Congresso Anual XPTO,Equipe interna XPTO,MG,Ortopedia,Parceiro clínica,Sim,7,8,8,7,5,7,6,Sim,Talvez,"Sinalização boa na maioria dos espaços, mas confusa no subsolo."
70,Congresso Anual XPTO,Médico participante,DF,Geriatria,Parceiro clínica,Não,7,6,7,5,5,6,6,Sim,Talvez,Localização ótima mas estacionamento insuficiente.
71,Congresso Anual XPTO,Equipe interna XPTO,MT,Ortopedia,Redes sociais,Não,10,10,9,10,10,10,8,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
72,Congresso Anual XPTO,Convidado especial,MG,Ginecologia,Parceiro clínica,Sim,9,8,9,7,8,10,9,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
73,Congresso Anual XPTO,Convidado especial,PR,Clínica Geral,Email marketing,Não,7,6,7,7,4,7,7,Sim,Talvez,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
74,Congresso Anual XPTO,Patrocinador,CE,Clínica Geral,Redes sociais,Sim,8,7,7,6,8,7,5,Sim,Sim,Conteúdo excelente mas programação muito densa para 2 dias.
75,Congresso Anual XPTO,Médico participante,DF,Pediatria,Parceiro clínica,Não,9,9,9,7,10,10,6,Sim,Sim,"Materiais e apostilas de alta qualidade, bem organizados."
76,Congresso Anual XPTO,Médico residente,RS,Cardiologia,Email marketing,Não,9,8,8,10,9,10,9,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
77,Congresso Anual XPTO,Médico participante,PI,Ginecologia,Congresso anterior,Sim,10,10,10,10,10,9,9,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
78,Congresso Anual XPTO,Médico residente,PE,Cardiologia,Indicação de colega,Não,8,7,9,6,9,9,8,Sim,Sim,Localização ótima mas estacionamento insuficiente.
79,Congresso Anual XPTO,Médico residente,CE,Dermatologia,Redes sociais,Sim,9,9,9,8,8,9,7,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
80,Congresso Anual XPTO,Médico residente,GO,Medicina Integrativa,Indicação de colega,Não,8,8,8,8,6,9,8,Sim,Sim,App do evento com informações desatualizadas em alguns momentos.
81,Congresso Anual XPTO,Equipe interna XPTO,RJ,Geriatria,Redes sociais,Sim,8,8,9,9,8,7,5,Sim,Sim,App do evento com informações desatualizadas em alguns momentos.
82,Congresso Anual XPTO,Convidado especial,RS,Geriatria,Redes sociais,Não,9,10,8,8,7,10,6,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
83,Congresso Anual XPTO,Médico participante,AL,Neurologia,Email marketing,Não,6,6,6,5,4,6,6,Talvez,Talvez,Palestrante do horário nobre cancelou sem aviso adequado.
84,Congresso Anual XPTO,Patrocinador,GO,Neurologia,Site XPTO,Não,9,9,8,9,9,7,7,Sim,Sim,Já indiquei para 5 colegas. Vale muito o investimento.
85,Congresso Anual XPTO,Médico residente,PB,Endocrinologia,Parceiro clínica,Não,10,9,10,8,10,8,10,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
86,Congresso Anual XPTO,Médico participante,SC,Cardiologia,Parceiro clínica,Não,8,7,9,6,6,6,5,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
87,Congresso Anual XPTO,Patrocinador,MG,Cardiologia,Indicação de colega,Não,6,6,6,4,6,6,6,Talvez,Talvez,Credenciamento demorou mais de 50 minutos. Perdi a primeira palestra.
88,Congresso Anual XPTO,Médico residente,MA,Dermatologia,Redes sociais,Não,8,8,8,9,9,6,8,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
89,Congresso Anual XPTO,Equipe interna XPTO,AM,Nutrologia,Email marketing,Não,9,9,10,7,9,9,9,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
90,Congresso Anual XPTO,Equipe interna XPTO,CE,Pediatria,Parceiro clínica,Sim,9,10,8,7,7,7,9,Sim,Sim,A equipe de suporte foi extremamente atenciosa durante todo o evento.
91,Congresso Anual XPTO,Médico residente,AM,Cardiologia,WhatsApp,Não,4,6,6,5,3,5,3,Não,Não,Credenciamento demorou mais de 50 minutos. Perdi a primeira palestra.
92,Congresso Anual XPTO,Médico residente,RS,Geriatria,Parceiro clínica,Não,10,10,10,8,10,9,10,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
93,Congresso Anual XPTO,Médico residente,PI,Medicina Integrativa,Parceiro clínica,Não,9,8,9,7,10,10,7,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
94,Congresso Anual XPTO,Patrocinador,PR,Ginecologia,Redes sociais,Não,8,7,9,7,5,7,8,Sim,Sim,"Sinalização boa na maioria dos espaços, mas confusa no subsolo."
95,Congresso Anual XPTO,Médico palestrante,SP,Medicina Integrativa,Parceiro clínica,Não,10,9,10,8,9,9,8,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
96,Congresso Anual XPTO,Médico residente,PI,Pediatria,Indicação de colega,Não,8,9,7,6,6,7,6,Sim,Sim,Bom de forma geral. O credenciamento poderia ter mais pontos de atendimento.
97,Congresso Anual XPTO,Equipe interna XPTO,RN,Nutrologia,Parceiro clínica,Não,8,9,9,8,9,6,8,Sim,Sim,"Sinalização boa na maioria dos espaços, mas confusa no subsolo."
98,Congresso Anual XPTO,Médico participante,PE,Medicina Integrativa,WhatsApp,Não,8,7,7,8,7,9,8,Sim,Sim,Localização ótima mas estacionamento insuficiente.
99,Congresso Anual XPTO,Médico palestrante,MG,Ginecologia,Indicação de colega,Sim,9,10,8,10,10,9,8,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
100,Congresso Anual XPTO,Médico participante,PR,Geriatria,Site XPTO,Sim,9,8,8,8,8,8,9,Sim,Sim,"O melhor congresso da área no Brasil, sem dúvida. Estarei no próximo."
101,Congresso Anual XPTO,Patrocinador,CE,Neurologia,Parceiro clínica,Sim,7,8,7,5,6,6,6,Sim,Talvez,Localização ótima mas estacionamento insuficiente.
102,Congresso Anual XPTO,Equipe interna XPTO,BA,Cardiologia,Congresso anterior,Não,9,8,8,8,9,7,7,Sim,Sim,Já indiquei para 5 colegas. Vale muito o investimento.
103,Congresso Anual XPTO,Médico palestrante,AL,Endocrinologia,Parceiro clínica,Sim,9,8,10,8,7,10,8,Sim,Sim,Networking incrível. Já tenho novos parceiros de consultório.
104,Congresso Anual XPTO,Patrocinador,ES,Ginecologia,Parceiro clínica,Não,5,6,6,4,3,5,5,Talvez,Não,Microfone com chiado durante a palestra principal. Dificultou muito.
105,Congresso Anual XPTO,Convidado especial,DF,Ortopedia,Indicação de colega,Não,9,10,9,8,7,9,9,Sim,Sim,Palestrantes de altíssimo nível. Conteúdo científico denso e aplicável.
106,Congresso Anual XPTO,Equipe interna XPTO,MA,Ginecologia,Site XPTO,Sim,9,10,8,7,8,9,9,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
107,Congresso Anual XPTO,Equipe interna XPTO,AM,Dermatologia,Parceiro clínica,Não,9,9,9,10,9,8,9,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
108,Congresso Anual XPTO,Médico participante,RN,Nutrologia,WhatsApp,Não,9,8,9,9,8,9,7,Sim,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
109,Congresso Anual XPTO,Patrocinador,DF,Geriatria,Indicação de colega,Não,10,9,10,10,9,10,10,Sim,Sim,Já indiquei para 5 colegas. Vale muito o investimento.
110,Congresso Anual XPTO,Médico residente,BA,Geriatria,Parceiro clínica,Sim,10,10,10,9,9,10,8,Sim,Sim,Estrutura do evento impecável. Credenciamento rápido e eficiente.
111,Congresso Anual XPTO,Convidado especial,AL,Endocrinologia,Email marketing,Não,9,9,10,8,7,9,7,Sim,Sim,Já indiquei para 5 colegas. Vale muito o investimento.
112,Congresso Anual XPTO,Equipe interna XPTO,GO,Cardiologia,Site XPTO,Não,9,10,9,9,7,9,6,Sim,Sim,O Dr. Ítalo é um inspirador nato. Presença obrigatória.
113,Congresso Anual XPTO,Médico participante,MT,Neurologia,Site XPTO,Sim,5,6,6,6,6,5,5,Talvez,Não,App do evento com erros na programação — entrei na sala errada.
114,Congresso Anual XPTO,Patrocinador,CE,Medicina Integrativa,Congresso anterior,Não,9,9,9,10,8,7,7,Sim,Sim,Organização impecável. Logística funcionou perfeitamente do início ao fim.
