Curso,Modalidade,Mes,Ano,Turmas_Previstas,Turmas_Realizadas,Alunos_Orcados,Alunos_Matriculados,Ticket_Medio_Orcado,Ticket_Medio_Realizado,Receita_Orcada,Receita_Realizada,Variacao_R$,Variacao_Pct,Motivo_Desvio
HTI,Presencial,Janeiro,2026,2,2,120,106,17748,17748,2129760,1881288,-248472,-11.7,Cancelamentos por questões financeiras dos alunos
SHHE,Presencial,Janeiro,2026,1,1,40,38,14900,14155.0,596000,537890.0,-58110.0,-9.8,Baixa adesão na semana de lançamento
NEXAL,Presencial,Janeiro,2026,1,1,35,29,9800,8820.0,343000,255780.0,-87220.0,-25.4,Cancelamentos por questões financeiras dos alunos
POS,Presencial,Janeiro,2026,1,1,25,18,38000,38000,950000,684000,-266000,-28.0,Competição com curso concorrente
R2,Híbrido,Janeiro,2026,1,1,20,19,8500,8500,170000,161500,-8500,-5.0,Impacto de feriado prolongado
EAD,Online,Janeiro,2026,3,3,450,423,1200,1200,540000,507600,-32400,-6.0,Baixa adesão na semana de lançamento
HTI,Presencial,Fevereiro,2026,2,2,120,148,17748,15973.0,2129760,2364034.0,234274.0,11.0,Boca a boca positivo
SHHE,Presencial,Fevereiro,2026,1,1,40,46,14900,14900,596000,685400,89400,15.0,Black Friday educacional
NEXAL,Presencial,Fevereiro,2026,1,1,35,42,9800,9310.0,343000,391020.0,48020.0,14.0,Ação de reengajamento de ex-alunos
POS,Presencial,Fevereiro,2026,1,1,25,30,38000,34200.0,950000,1026000.0,76000.0,8.0,Boca a boca positivo
R2,Híbrido,Fevereiro,2026,1,1,20,21,8500,8500,170000,178500,8500,5.0,Black Friday educacional
EAD,Online,Fevereiro,2026,3,3,450,495,1200,1200,540000,594000,54000,10.0,Boca a boca positivo
HTI,Presencial,Março,2026,2,2,120,126,17748,15973.0,2129760,2012623.0,-117137.0,-5.5,Problemas técnicos na plataforma EAD
SHHE,Presencial,Março,2026,1,1,40,43,14900,14900,596000,640700,44700,7.5,Ação de reengajamento de ex-alunos
NEXAL,Presencial,Março,2026,1,1,35,33,9800,9800,343000,323400,-19600,-5.7,Competição com curso concorrente
POS,Presencial,Março,2026,1,1,25,25,38000,34200.0,950000,855000.0,-95000.0,-10.0,Cancelamentos por questões financeiras dos alunos
R2,Híbrido,Março,2026,1,1,20,20,8500,7650.0,170000,153000.0,-17000.0,-10.0,Competição com curso concorrente
EAD,Online,Março,2026,3,3,450,483,1200,1140.0,540000,550620.0,10620.0,2.0,Meta atingida
