ID,Curso,Turma,Mes_Realizacao,Cidade,Nota_NPS_0_10,Nota_Conteudo,Nota_Professor,Nota_Plataforma_EAD,Nota_Suporte,Nota_Logistica,Perfil_Aluno,Modalidade,Recomendaria,Comentario_Aberto
1,SHHE,T4/26,Fevereiro,São Paulo,10,10,9,9,10,8,Residente,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
2,NEXAL,T4/26,Maio,Fortaleza,8,9,7,8,8,9,Coordenador de área,Presencial,Talvez,Bom conteúdo mas apresentação dos slides poderia ser mais visual.
3,POS,T4/26,Março,Fortaleza,10,10,10,10,8,9,Coordenador de área,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
4,NEXAL,T1/26,Março,Fortaleza,10,10,10,7,10,9,Médico,Presencial,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
5,HTI,T3/26,Janeiro,São Paulo,8,9,8,7,8,8,Residente,Presencial,Talvez,"Válido, mas a carga horária poderia ser melhor distribuída."
6,R2,T3/26,Janeiro,Fortaleza,10,10,10,10,10,8,Coordenador de área,Híbrido,Sim,O suporte antes e durante o curso foi impecável.
7,SHHE,T4/26,Fevereiro,São Paulo,10,10,9,10,10,10,Médico,Presencial,Sim,Transformador. Indicarei para toda a minha equipe da clínica.
8,SHHE,T4/26,Junho,São Paulo,9,10,8,8,8,8,Especialista,Presencial,Sim,"Conteúdo excelente, professor muito didático. Já apliquei na prática."
9,POS,T3/26,Março,Fortaleza,8,8,9,8,8,8,Médico recém-formado,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
10,R2,T1/26,Fevereiro,Fortaleza,7,7,8,7,8,6,Coordenador de área,Híbrido,Talvez,Conteúdo sólido mas o ritmo poderia ser mais cadenciado.
11,R2,T4/26,Fevereiro,Fortaleza,9,9,10,9,9,7,Residente,Híbrido,Sim,Melhor curso que fiz nos últimos anos. Recomendo a todos os colegas.
12,R2,T2/26,Janeiro,Fortaleza,10,10,10,7,9,9,Médico,Híbrido,Sim,Conteúdo atualizado e imediatamente aplicável na prática clínica.
13,NEXAL,T2/26,Fevereiro,Fortaleza,8,9,7,8,6,8,Médico recém-formado,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
14,SHHE,T3/26,Abril,São Paulo,10,9,10,10,10,8,Coordenador de área,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
15,SHHE,T2/26,Março,São Paulo,10,10,9,9,9,10,Especialista,Presencial,Sim,Valeu cada centavo. O networking foi um bônus inesperado.
16,HTI,T2/26,Abril,Fortaleza,8,7,9,7,9,9,Coordenador de área,Presencial,Talvez,Bom curso mas esperava mais casos clínicos práticos.
